"mes" "BVSP_coeficiente_B" "BVSP_volatilidade" "Bens.Indls...Mat.Transporte_coeficiente_B" "Bens.Indls...Mat.Transporte_volatilidade" "Cons.N.Básico...Alimentos.Processados_coeficiente_B" "Cons.N.Básico...Alimentos.Processados_volatilidade" "Cons.N.Cíclico...Bebidas_coeficiente_B" "Cons.N.Cíclico...Bebidas_volatilidade" "Cons.N.Cíclico...Fumo_coeficiente_B" "Cons.N.Cíclico...Fumo_volatilidade" "Cons.N.Cíclico...Pr.Pessoal.Limp_coeficiente_B" "Cons.N.Cíclico...Pr.Pessoal.Limp_volatilidade" "Const.e.Transp...Constr.e.Engenh_coeficiente_B" "Const.e.Transp...Constr.e.Engenh_volatilidade" "Utilidade.Públ...Água.Saneamento_coeficiente_B" "Utilidade.Públ...Água.Saneamento_volatilidade"
55 1.42524590308036 0.712880563352178 1.28898250011362 0.761171421038972 1.56643782372621 0.635745420400507 1.88887833781084 0.549819804161161 1.41138934762933 0.684909772444455 1.06691552152135 0.907815421969298 1.59603148470065 0.65290147478607 1.22590700454692 0.842286878788887
56 1.40365592667694 0.7171551276563 1.27737531575817 0.762018010749855 1.59267680481759 0.629391737166194 1.86974610619091 0.566179731011283 1.44222568686111 0.671797980174417 1.04388031003827 0.924951624777038 1.6382133465726 0.642416536919278 1.17543347078593 0.861377166024236
57 1.40000721025626 0.72508028532898 1.26600075458646 0.769752398432145 1.57320990984602 0.634490903354303 1.84110762215459 0.571170634618893 1.3588525983436 0.709621745922366 1.03081838728788 0.93551595396137 1.61954346989764 0.649305138722521 1.16883554460036 0.874152006779373
58 1.3698828455715 0.73279112773238 1.25067761480014 0.781612620364602 1.57740237671954 0.640451900419883 1.91489308473869 0.554600460121388 1.3757602593076 0.698417480841331 1.02922343935721 0.930941857613536 1.63935204473838 0.630885191380885 1.16528916596378 0.867667169180785
59 1.38539634067577 0.731213641899177 1.19201907656155 0.821296042150036 1.61521440541957 0.62970047032484 1.89598254531692 0.556569050230763 1.37739111714179 0.699060654191083 0.966491312781847 0.98218502726517 1.63991992497875 0.631865429853192 1.16216317426842 0.856522556372893
60 1.37592365949427 0.735087110445512 1.27147747123329 0.786194769844905 1.58080924259039 0.630277606302028 1.95301710273527 0.532356526162298 1.41137013329469 0.687874080439555 0.960545353031106 0.98450942960456 1.65830340179414 0.633973744490475 1.11581078871068 0.884305486305824
61 1.38221544293749 0.731090564282233 1.28716532403098 0.773781041433863 1.56484014440481 0.634335874865209 1.98390405423905 0.529036693965468 1.40890583365459 0.691925484884197 0.989422335132019 0.955089802296012 1.63469089899468 0.636834075839706 1.08498756166359 0.900697217328832
62 1.33368559108325 0.760580976589453 1.27465848307396 0.794348118824617 1.48288014041354 0.670591790590241 1.890356751193 0.554410242949568 1.41726409022591 0.69121079193419 0.919776954729448 1.01500903292179 1.57566933694918 0.658063724178594 0.970819445735642 0.987885453921729
63 1.31099578306092 0.766881503441159 1.25471043174058 0.803292149584957 1.47618104089431 0.67420924317339 1.9546241874434 0.526349123166608 1.33084281654964 0.725967720737028 0.928373378417417 1.00679874208966 1.53927434965218 0.673840102321151 0.937663039765712 1.03672743152521
64 1.30733237423433 0.770954089629811 1.33751425971999 0.75718130752056 1.46219314503495 0.678984695997937 2.00349014287932 0.510305696222044 1.30090805515193 0.74700301579163 0.926377346875673 1.00523474005529 1.52237339546432 0.674976392569107 0.930254764121733 1.0571219333645
65 1.29418359972045 0.783277148276588 1.33820635222805 0.737656850729145 1.44165036374705 0.691042576271818 1.98438365391966 0.513447604992217 1.2382822027428 0.786776636449351 0.930787397764759 1.00311917305809 1.51220155044508 0.675820219190017 0.92681098335336 1.06029332254728
66 1.38864316321338 0.74470832577691 1.39421625919305 0.718336071933414 1.45135147329414 0.686028903859188 2.00558604079764 0.509284730124638 1.15889513041129 0.828218075321707 0.944614396503202 0.989882934374562 1.64436256179788 0.617584612534982 0.957701194995858 1.0145018180378
